Type Gun
Useable Gun
Slot Primary
ID 4514

Size_X 4
Size_Y 2
Size_Z 0.4

Magazine 4515

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 30
Ammo_Max 30

Safety
Semi
Auto

Caliber 9

Range 280
Firerate 6
Action Trigger

Player_Damage 65
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.6

Zombie_Damage 91
Zombie_Leg_Multiplier 0.38
Zombie_Arm_Multiplier 0.37
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 65
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.6

Barricade_Damage 45
Structure_Damage 35
Vehicle_Damage 40
Resource_Damage 20

Durability 0.1

Spread_Aim 0.07
Spread_Hip 0.16

Recoil_Min_X 1.3	
Recoil_Min_Y 2.1
Recoil_Max_X 2.51
Recoil_Max_Y 3.0

Recover_X 0.7
Recover_Y 0.41

Shake_Min_X -0.004
Shake_Min_Y 0.003
Shake_Min_Z -0.005
Shake_Max_X 0.0025
Shake_Max_Y -0.0029
Shake_Max_Z -0.02

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 4
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
