Type Gun
Useable Gun
Slot Primary
ID 4503

Size_X 3
Size_Y 2
Size_Z 0.4

Sight 4504
Magazine 4505
Barrel 4506

Hook_Sight
Hook_Tactical
Hook_Barrel

Ammo_Min 39
Ammo_Max 50

Safety
Semi
Auto

Caliber 37

Range 130
Firerate 3
Action Trigger

Player_Damage 33
Player_Leg_Multiplier 0.61
Player_Arm_Multiplier 0.61
Player_Spine_Multiplier 0.61
Player_Skull_Multiplier 1.1

Zombie_Damage 33
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 0.61
Zombie_Skull_Multiplier 1.1

Animal_Damage 33
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.4


Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 35
Resource_Damage 10

Durability 0.2

Spread_Aim 0.11
Spread_Hip 0.08

Recoil_Min_X 0.3
Recoil_Min_Y 0.9
Recoil_Max_X 1.5
Recoil_Max_Y 3.5

Recover_X 0.7
Recover_Y 0.9

Shake_Min_X -0.0015
Shake_Min_Y 0.0045
Shake_Min_Z -0.02
Shake_Max_X 0.0015
Shake_Max_Y -0.0015
Shake_Max_Z -0.04

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 4
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
