Type Gun
Useable Gun
Slot Primary
ID 4507

Size_X 4
Size_Y 2
Size_Z 0.4

Sight 4508
Magazine 4509

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 16
Ammo_Max 20

Safety
Semi
Auto

Caliber 43

Range 300
Firerate 8
Action Trigger

Player_Damage 50
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.8
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 2

Zombie_Damage 72
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.7
Zombie_Skull_Multiplier 2.1

Animal_Damage 50
Animal_Leg_Multiplier 0.8
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 2


Barricade_Damage 40
Structure_Damage 30
Vehicle_Damage 35
Resource_Damage 20

Durability 0.1

Spread_Aim 0.05
Spread_Hip 0.2

Recoil_Min_X 0.1
Recoil_Min_Y 3.2
Recoil_Max_X 0.5
Recoil_Max_Y 6.5

Recover_X 0.3
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.01
Shake_Min_Z -0.02
Shake_Max_X 0.004
Shake_Max_Y -0.0049
Shake_Max_Z -0.02

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 4
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
