GUID d96a215a01fd475f8117f71e1bbd1365
Type Gun
Useable Gun
Rarity Legendary
Slot Primary
ID 40015

Size_X 5
Size_Y 2
Size_Z 0.6

Sight 40013
Magazine 40017

Hook_Sight
Hook_Tactical

Ammo_Min 155
Ammo_Max 200

Auto
Safety

Caliber 255

Range 15
Firerate 2
Replace 0.8
Action Trigger

Player_Damage 20
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 2

Zombie_Damage 30
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 25
Vehicle_Damage 20
Resource_Damage 20


Durability 0.01

Spread_Aim 0.1
Spread_Hip 0.1

Recoil_Min_X -1
Recoil_Min_Y 1
Recoil_Max_X 1
Recoil_Max_Y 1

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X 0
Shake_Min_Y 0.001
Shake_Min_Z -0.0001
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 40004

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 7
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 40015
Blueprint_1_Product 67
Blueprint_1_Products 5
Blueprint_1_Build 27

Asset_Bundle_Version 2
