GUID a51c6c4a47194dc38ac0d952b03be9e7
Type Melee
Rarity Legendary
Useable Melee
Slot Secondary
ID 40037

Size_X 1
Size_Y 2
Size_Z 0.4

Range 1.5

Player_Damage 10
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 10
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 10
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 10
Resource_Damage 5
Object_Damage 2

Durability 0.15
