GUID 4095ef17c9a544b5bf39bbc02ddab02b
Type Spawn
ID 62625

Roots 34
Root_0_Spawn_ID 123
Root_0_Weight 5
Root_1_Spawn_ID 94
Root_1_Weight 5
Root_2_Spawn_ID 107
Root_2_Weight 5
Root_3_Spawn_ID 112
Root_3_Weight 5
Root_4_Spawn_ID 150
Root_4_Weight 5
Root_5_Spawn_ID 154
Root_5_Weight 5
Root_6_Spawn_ID 151
Root_6_Weight 5
Root_7_Spawn_ID 164
Root_7_Weight 5
Root_8_Spawn_ID 169
Root_8_Weight 5
Root_9_Spawn_ID 180
Root_9_Weight 5
Root_10_Spawn_ID 198
Root_10_Weight 5
Root_11_Spawn_ID 216
Root_11_Weight 5
Root_12_Spawn_ID 228
Root_12_Weight 5
Root_13_Spawn_ID 254
Root_13_Weight 5
Root_14_Spawn_ID 258
Root_14_Weight 5
Root_15_Spawn_ID 262
Root_15_Weight 5
Root_16_Spawn_ID 274
Root_16_Weight 5
Root_17_Spawn_ID 278
Root_17_Weight 5
Root_18_Spawn_ID 334
Root_18_Weight 5
Root_19_Spawn_ID 416
Root_19_Weight 5
Root_20_Spawn_ID 519
Root_20_Weight 5
Root_21_Spawn_ID 521
Root_21_Weight 5
Root_22_Spawn_ID 522
Root_22_Weight 5
Root_23_Spawn_ID 527
Root_23_Weight 5
Root_24_Spawn_ID 528
Root_24_Weight 5
Root_25_Spawn_ID 564
Root_25_Weight 5
Root_26_Spawn_ID 565
Root_26_Weight 5
Root_27_Spawn_ID 566
Root_27_Weight 5
Root_28_Spawn_ID 567
Root_28_Weight 5
Root_29_Spawn_ID 568
Root_29_Weight 5
Root_30_Spawn_ID 569
Root_30_Weight 5
Root_31_Spawn_ID 585
Root_31_Weight 5
Root_32_Spawn_ID 618
Root_32_Weight 5
Root_33_Spawn_ID 631
Root_33_Weight 5
Root_34_Spawn_ID 127
Root_34_Weight 5
Root_35_Spawn_ID 172
Root_35_Weight 5
Root_36_Spawn_ID 195
Root_36_Weight 5

Tables 1
Table_0_Asset_ID 62626
Table_0_Weight 1.5
